"GEOID","NAME","households","total_pop","white","black","asian","american_indian_alaska_native","hawaian_pacific_island","hispanic"
"060014001001","Block Group 1, Census Tract 4001, Alameda County, California",784,1789,1179,55,242,2,9,129
"060014001002","Block Group 2, Census Tract 4001, Alameda County, California",611,1249,691,89,296,0,2,76
"060014002002","Block Group 2, Census Tract 4002, Alameda County, California",428,979,681,28,122,1,0,102
"060014002001","Block Group 1, Census Tract 4002, Alameda County, California",464,1022,740,12,85,2,4,105
"060014003003","Block Group 3, Census Tract 4003, Alameda County, California",676,1390,632,389,88,8,13,168
"060014003001","Block Group 1, Census Tract 4003, Alameda County, California",528,1123,820,35,114,3,0,84
"060014003002","Block Group 2, Census Tract 4003, Alameda County, California",850,1528,950,93,199,9,5,176
"060014003004","Block Group 4, Census Tract 4003, Alameda County, California",710,1463,1011,44,153,6,9,119
"060014004001","Block Group 1, Census Tract 4004, Alameda County, California",788,1558,1140,50,169,3,2,111
"060014004002","Block Group 2, Census Tract 4004, Alameda County, California",593,1353,839,150,107,9,2,158
"060014004003","Block Group 3, Census Tract 4004, Alameda County, California",577,1201,786,89,123,0,4,105
"060014005001","Block Group 1, Census Tract 4005, Alameda County, California",968,2018,1084,270,193,14,3,250
"060014005002","Block Group 2, Census Tract 4005, Alameda County, California",380,905,487,210,62,9,0,96
"060014005003","Block Group 3, Census Tract 4005, Alameda County, California",346,721,386,145,52,1,2,91
"060014006001","Block Group 1, Census Tract 4006, Alameda County, California",482,1076,501,281,66,5,0,106
"060014006002","Block Group 2, Census Tract 4006, Alameda County, California",290,712,337,156,59,6,2,82
"060014007002","Block Group 2, Census Tract 4007, Alameda County, California",563,1269,548,342,119,13,2,188
"060014007001","Block Group 1, Census Tract 4007, Alameda County, California",593,1254,478,369,122,6,3,186
"060014007003","Block Group 3, Census Tract 4007, Alameda County, California",363,810,412,182,71,6,0,113
"060014007004","Block Group 4, Census Tract 4007, Alameda County, California",548,1175,510,328,105,5,5,146
"060014008001","Block Group 1, Census Tract 4008, Alameda County, California",758,1471,569,350,299,5,5,152
"060014008002","Block Group 2, Census Tract 4008, Alameda County, California",475,1154,441,365,107,11,12,170
"060014008003","Block Group 3, Census Tract 4008, Alameda County, California",602,1292,596,280,175,9,3,178
"060014009001","Block Group 1, Census Tract 4009, Alameda County, California",641,1330,552,335,136,2,1,199
"060014009002","Block Group 2, Census Tract 4009, Alameda County, California",560,1184,519,304,111,11,3,175
"060014010002","Block Group 2, Census Tract 4010, Alameda County, California",371,841,376,206,87,10,0,117
"060014010005","Block Group 5, Census Tract 4010, Alameda County, California",457,1108,335,369,96,10,11,248
"060014010001","Block Group 1, Census Tract 4010, Alameda County, California",398,987,416,313,68,12,7,150
"060014010003","Block Group 3, Census Tract 4010, Alameda County, California",522,1156,514,318,88,6,5,192
"060014010004","Block Group 4, Census Tract 4010, Alameda County, California",360,765,290,222,104,2,8,92
"060014010006","Block Group 6, Census Tract 4010, Alameda County, California",595,1240,423,441,145,11,2,178
"060014011002","Block Group 2, Census Tract 4011, Alameda County, California",788,1302,788,157,146,14,0,122
"060014011001","Block Group 1, Census Tract 4011, Alameda County, California",379,829,483,81,95,4,0,115
