"GEOID","NAME","H1_001N"
"06001400100","Census Tract 4001, Alameda County, California",1395
"06001400200","Census Tract 4002, Alameda County, California",892
"06001400300","Census Tract 4003, Alameda County, California",2764
"06001400400","Census Tract 4004, Alameda County, California",1958
"06001400500","Census Tract 4005, Alameda County, California",1694
"06001400600","Census Tract 4006, Alameda County, California",772
"06001400700","Census Tract 4007, Alameda County, California",2067
"06001400800","Census Tract 4008, Alameda County, California",1835
"06001400900","Census Tract 4009, Alameda County, California",1201
"06001401000","Census Tract 4010, Alameda County, California",2703
"06001401100","Census Tract 4011, Alameda County, California",2727
"06001401200","Census Tract 4012, Alameda County, California",1512
"06001401300","Census Tract 4013, Alameda County, California",2853
"06001401400","Census Tract 4014, Alameda County, California",1795
"06001401500","Census Tract 4015, Alameda County, California",1221
"06001401600","Census Tract 4016, Alameda County, California",1017
"06001401700","Census Tract 4017, Alameda County, California",1947
"06001401800","Census Tract 4018, Alameda County, California",848
"06001402200","Census Tract 4022, Alameda County, California",1050
"06001402400","Census Tract 4024, Alameda County, California",1163
"06001402500","Census Tract 4025, Alameda County, California",785
"06001402600","Census Tract 4026, Alameda County, California",673
"06001402700","Census Tract 4027, Alameda County, California",810
"06001402801","Census Tract 4028.01, Alameda County, California",1445
"06001402802","Census Tract 4028.02, Alameda County, California",958
"06001402900","Census Tract 4029, Alameda County, California",1502
"06001403000","Census Tract 4030, Alameda County, California",1763
"06001403100","Census Tract 4031, Alameda County, California",986
"06001403301","Census Tract 4033.01, Alameda County, California",831
"06001403302","Census Tract 4033.02, Alameda County, California",1859
"06001403401","Census Tract 4034.01, Alameda County, California",2085
"06001403402","Census Tract 4034.02, Alameda County, California",965
"06001403501","Census Tract 4035.01, Alameda County, California",3721
"06001403502","Census Tract 4035.02, Alameda County, California",1307
"06001403600","Census Tract 4036, Alameda County, California",2765
"06001403701","Census Tract 4037.01, Alameda County, California",1682
"06001403702","Census Tract 4037.02, Alameda County, California",1299
"06001403800","Census Tract 4038, Alameda County, California",1978
"06001403900","Census Tract 4039, Alameda County, California",2314
"06001404000","Census Tract 4040, Alameda County, California",1857
"06001404101","Census Tract 4041.01, Alameda County, California",1836
"06001404102","Census Tract 4041.02, Alameda County, California",1712
"06001404200","Census Tract 4042, Alameda County, California",1446
"06001404300","Census Tract 4043, Alameda County, California",1409
"06001404400","Census Tract 4044, Alameda County, California",2420
"06001404501","Census Tract 4045.01, Alameda County, California",710
"06001404502","Census Tract 4045.02, Alameda County, California",2565
"06001404600","Census Tract 4046, Alameda County, California",1902
"06001404700","Census Tract 4047, Alameda County, California",829
"06001404800","Census Tract 4048, Alameda County, California",1301
"06001404900","Census Tract 4049, Alameda County, California",2145
"06001405000","Census Tract 4050, Alameda County, California",1596
"06001405100","Census Tract 4051, Alameda County, California",1635
"06001405200","Census Tract 4052, Alameda County, California",2589
"06001405301","Census Tract 4053.01, Alameda County, California",1691
"06001405302","Census Tract 4053.02, Alameda County, California",1643
"06001405401","Census Tract 4054.01, Alameda County, California",1744
"06001405402","Census Tract 4054.02, Alameda County, California",1260
"06001405500","Census Tract 4055, Alameda County, California",1683
"06001405600","Census Tract 4056, Alameda County, California",1510
"06001405700","Census Tract 4057, Alameda County, California",1430
"06001405800","Census Tract 4058, Alameda County, California",1427
"06001405901","Census Tract 4059.01, Alameda County, California",1219
"06001405902","Census Tract 4059.02, Alameda County, California",1034
"06001406000","Census Tract 4060, Alameda County, California",2064
"06001406100","Census Tract 4061, Alameda County, California",1987
"06001406201","Census Tract 4062.01, Alameda County, California",1564
"06001406202","Census Tract 4062.02, Alameda County, California",1431
"06001406300","Census Tract 4063, Alameda County, California",1350
"06001406400","Census Tract 4064, Alameda County, California",750
"06001406500","Census Tract 4065, Alameda County, California",2031
"06001406601","Census Tract 4066.01, Alameda County, California",1831
"06001406602","Census Tract 4066.02, Alameda County, California",970
"06001406700","Census Tract 4067, Alameda County, California",2374
"06001406800","Census Tract 4068, Alameda County, California",1460
"06001406900","Census Tract 4069, Alameda County, California",1567
"06001407000","Census Tract 4070, Alameda County, California",2236
"06001407101","Census Tract 4071.01, Alameda County, California",1160
"06001407102","Census Tract 4071.02, Alameda County, California",1384
"06001407200","Census Tract 4072, Alameda County, California",2044
"06001407300","Census Tract 4073, Alameda County, California",878
"06001407400","Census Tract 4074, Alameda County, California",1278
"06001407500","Census Tract 4075, Alameda County, California",1402
"06001407600","Census Tract 4076, Alameda County, California",2260
"06001407700","Census Tract 4077, Alameda County, California",1844
"06001407800","Census Tract 4078, Alameda County, California",808
"06001407900","Census Tract 4079, Alameda County, California",1233
"06001408000","Census Tract 4080, Alameda County, California",1056
"06001408100","Census Tract 4081, Alameda County, California",2906
"06001408200","Census Tract 4082, Alameda County, California",1838
"06001408300","Census Tract 4083, Alameda County, California",1873
"06001408400","Census Tract 4084, Alameda County, California",1271
"06001408500","Census Tract 4085, Alameda County, California",1701
"06001408600","Census Tract 4086, Alameda County, California",1921
"06001408700","Census Tract 4087, Alameda County, California",2553
"06001408800","Census Tract 4088, Alameda County, California",2237
"06001408900","Census Tract 4089, Alameda County, California",1099
"06001409000","Census Tract 4090, Alameda County, California",1111
"06001409100","Census Tract 4091, Alameda County, California",677
"06001409200","Census Tract 4092, Alameda County, California",965
"06001409300","Census Tract 4093, Alameda County, California",1635
"06001409400","Census Tract 4094, Alameda County, California",1353
"06001409500","Census Tract 4095, Alameda County, California",1123
"06001409600","Census Tract 4096, Alameda County, California",1585
"06001409700","Census Tract 4097, Alameda County, California",1749
"06001409800","Census Tract 4098, Alameda County, California",1268
"06001409900","Census Tract 4099, Alameda County, California",1425
"06001410000","Census Tract 4100, Alameda County, California",1182
"06001410100","Census Tract 4101, Alameda County, California",1098
"06001410200","Census Tract 4102, Alameda County, California",1234
"06001410300","Census Tract 4103, Alameda County, California",1067
"06001410400","Census Tract 4104, Alameda County, California",1361
"06001410500","Census Tract 4105, Alameda County, California",915
"06001420100","Census Tract 4201, Alameda County, California",954
"06001420200","Census Tract 4202, Alameda County, California",1306
"06001420301","Census Tract 4203.01, Alameda County, California",1140
"06001420302","Census Tract 4203.02, Alameda County, California",1010
"06001420401","Census Tract 4204.01, Alameda County, California",478
"06001420402","Census Tract 4204.02, Alameda County, California",661
"06001420500","Census Tract 4205, Alameda County, California",1004
"06001420600","Census Tract 4206, Alameda County, California",1354
"06001421100","Census Tract 4211, Alameda County, California",879
"06001421200","Census Tract 4212, Alameda County, California",1520
"06001421300","Census Tract 4213, Alameda County, California",1726
